artists,album_name,track_name,danceability,energy,track_genre
Deuter,Koyasan: Reiki Sound Healing,Lovesong from the Mountains,0.184,0.0878,new-age
Michael Whalen,My Secret Heart,Moonglow,0.207,0.0825,new-age
ERA,The Very Best Of,Sentence,0.618,0.599,new-age
Yanni,The Very Best Of Yanni,Aria,0.454,0.73,new-age
Will Ackerman,Meditations,Believing in Miracles,0.309,0.192,new-age
Jim Brickman;Laura Creamer,Pure Jim Brickman,By Heart (feat. Laura Creamer),0.39,0.0868,new-age
Michael Hoppé;Martin Tillman,The Poet: Romances for Cello,Shadows for Walter de la Mare,0.106,0.214,new-age
Dean Evenson,Healing Waters,Washed with Love,0.19,0.198,new-age
Robert Haig Coxon,The Infinite... Essence of Life,The Family,0.174,0.0866,new-age
Brian Crain,Life Is...,Dreams and Memories,0.178,0.119,new-age
Dan Gibson's Solitudes,Asian Spa,The True Path,0.31,0.186,new-age
Dan Gibson's Solitudes,Desert Retreat,Desert Solitude,0.278,0.0565,new-age
Jim Brickman;Rebecca Lynn Howard,Greatest Hits,Simple Things (feat. Rebecca Lynn Howard),0.622,0.596,new-age
Dan Gibson's Solitudes,Piano Cascades,Cascades,0.359,0.197,new-age
Andreas Vollenweider;Walter Keiser;Pedro Haldemann;Jon Otis;Matthias Ziegler;Christoph Ziegler,Down to the Moon,Quiet Observer,0.373,0.317,new-age
Paul Cardall,Hymns,I Need Thee Every Hour,0.385,0.0298,new-age
Robert Haig Coxon,Prelude to Infinity,Hemingbough... A Prelude,0.234,0.174,new-age
Gomer Edwin Evans,SPIRIT OF TAO : Chinesische Meditationsmusik,Spirituelle Erneuerung,0.157,0.226,new-age
Deuter,East of the Full Moon,Moon-Silvered Clouds,0.269,0.0391,new-age
Llewellyn,Reiki,Waking Dreams,0.383,0.23,new-age
George Winston,Night,Hallelujah,0.385,0.187,new-age
Tony O'Connor,Kakadu,Billabong,0.361,0.111,new-age
Tony O'Connor,Whispering Sea,Wandering,0.476,0.0547,new-age
Clannad,Magical Ring,Tower Hill - Remastered 2003,0.581,0.517,new-age
Hayley Westenra,River Of Dreams - The Very Best of Hayley Westenra,Pokarekare Ana,0.149,0.149,new-age
Enigma,Seven Lives Many Faces,Déjà Vu,0.473,0.361,new-age
Laura Sullivan,Glow (Piano Version),Glow (Piano Version),0.567,0.154,new-age
David & Steve Gordon,Gratitude – Relaxing Native American Flute Music,Peace In Every Step,0.227,0.243,new-age
Karunesh,Colors of the East,Goa Sunset,0.657,0.421,new-age
Michael Hoppé,The Unforgetting Heart,Eventide,0.101,0.0712,new-age
Enigma,Seven Lives Many Faces,Touchness,0.387,0.565,new-age
Yiruma,The Best - Reminiscent 10th Anniversary,Do You?,0.435,0.101,new-age
Laura Sullivan,More Than All the Stars,More Than All the Stars,0.503,0.141,new-age
Achillea,The Nine Worlds,The Monks of Lindisfarne,0.698,0.46,new-age
Yanni,Reflections Of Passion,Almost A Whisper,0.525,0.11,new-age
Oliver Shanti & Friends,Best Of Oliver Shanti & Friends: Circles Of Life,Sacral Nirvana,0.585,0.683,new-age
Yanni,In My Time,Whispers In The Dark,0.308,0.0788,new-age
Wayne Gratz,Four Steps to the Ocean,A Silent Wind,0.146,0.094,new-age
David Nevue,Adoration: Solo Piano Hymns,I Surrender All,0.446,0.015,new-age
Ann Sweeten,A Place in the Sun,Echoes,0.192,0.171,new-age
Ad Dios,Avalon,Excalibur,0.627,0.154,new-age
David Wahler,Antiquus,Ancient Dawn,0.0642,0.263,new-age
Karunesh,Call of the Mystic,Monsoon's Dance,0.442,0.407,new-age
Laura Sullivan,Instrumental Pop Covers,"10,000 Hours (Instrumental Version)",0.398,0.187,new-age
Parijat,Serenity,57 Miles,0.53,0.305,new-age
2002,Believe,Chain of Life,0.176,0.458,new-age
Sacred Spirit,Chants And Dances Of The Native Americans,Yeha Noha (Wishes Of Happiness And Prosperity),0.576,0.384,new-age
Michael Hoppé;Tim Wheater,Romances,Lillies On The Lake,0.184,0.154,new-age
Chad Lawson,You Finally Knew,In the Waiting,0.337,0.0111,new-age
Brian Crain,Piano and Light,Reflecting Pool,0.182,0.119,new-age
Will Ackerman,Sound Of Wind Driven Rain,Sound Of Wind Driven Rain,0.298,0.16,new-age
Deuter,Spiritual Healing,Dawn Mist - The Temple,0.168,0.0257,new-age
Gomer Edwin Evans,Dreams Of Harmony : Meditationsmusik für Kinder,Secrets from the Sky,0.478,0.0767,new-age
Constance Demby,Sanctum Sanctuorum,Gateway,0.143,0.256,new-age
Gomer Edwin Evans,Gute-Nacht-Musik: Einschlafmusik für Kinder,"Der kleine Prinz, Pt. 2",0.384,0.0739,new-age
Llewellyn,Reiki,Sanctuary,0.212,0.137,new-age
Jim Brickman,"Soothe, Vol. 5: Lullaby Dreams - Music for a Peaceful Escape",It's a Small World,0.376,0.0999,new-age
Gomer Edwin Evans,Die Heilkraft der Chakren : Traumhafte Meditationsmusik,Sakralchakra,0.473,0.0824,new-age
Kevin Kern,The Winding Path,Softly Falling,0.399,0.0283,new-age
Paul Cardall,Sleep,Sleep NREM Stage 1,0.215,0.068,new-age
Paul Cardall,Hymns,"Come, Follow Me",0.301,0.0122,new-age
Mike Rowland,Arc-En-Ciel: The Healing,Earthensky,0.0893,0.106,new-age
George Winston,Night,He's A Runner,0.648,0.00717,new-age
Paul Cardall,A New Creation,One by One,0.197,0.373,new-age
Jim Brickman;Jordan Hill;Billy Porter,Destiny,Destiny (feat. Jordan Hill & Billy Porter),0.571,0.52,new-age
George Winston,Plains,Graduation,0.363,0.0928,new-age
Andreas Vollenweider,Book of Roses,Hirzel,0.726,0.57,new-age
Andreas Vollenweider;Mark O'Connor;Vanesse Thomas;Lani Groves;Diva Gray;Patti Austin;Walter Keiser;Pedro Haldemann;Christoph Stiefel;Max Lässer;David Lindley,Dancing with the Lion,Pearls and Tears,0.441,0.491,new-age
Paul Cardall,Hymns,A Poor Wayfaring Man Of Grief,0.479,0.0898,new-age
Andreas Vollenweider;Walter Keiser;Mindy Jostyn;Eberhard Hahn;Daniel Pezzotti,Kryptos,Under the Trees of Hope,0.373,0.536,new-age
Tony O'Connor,Aqua Zone,Chevaux,0.383,0.14,new-age
Tony O'Connor,Aqua Zone,Ocean Rise,0.577,0.391,new-age
George Winston,Night,Blues For Richard Folsom,0.42,0.00217,new-age
Andreas Vollenweider;Walter Keiser;Pedro Haldemann;Christoph Stiefel;Janne Schaffer;Fernando Fantini;Hans Bergström;Charly Fässler;Hanspeter Haas;Beat Briner;Daniel Pezzotti,Dancing with the Lion,Dance of the Masks,0.608,0.573,new-age
Clannad,Legend,Ancient Forest - Remastered 2003,0.597,0.509,new-age
Yiruma,Piano,Heart,0.492,0.0397,new-age
Jacob's Piano,Experience,Experience,0.246,0.0829,new-age
Yanni,In His Purest Form,If I Could Tell You,0.313,0.208,new-age
Jacob's Piano,4 Soundtracks,"The About Time Theme (from ""About Time"")",0.376,0.0141,new-age
Ronan Hardiman,Michael Flatley's Lord Of The Dance,Gypsy,0.632,0.515,new-age
Nicholas Gunn,The Music of the Grand Canyon,Entering Twin Falls,0.293,0.642,new-age
Parijat,Serenity,Sigh,0.221,0.0791,new-age
Stive Morgan,The Crossroads of Time,Wandering Soul,0.588,0.558,new-age
Yanni,"Yanni - Live at El Morro, Puerto Rico",The End Of August,0.146,0.381,new-age
Stanton Lanier,Gaze Upon the Beauty,Gaze Upon the Beauty,0.123,0.0516,new-age
2002,Chrysalis,Chrysalis,0.128,0.213,new-age
Daniel Kobialka,When You Wish Upon A Star,Angels Sleep,0.148,0.0865,new-age
Stive Morgan,Earth Breath,Ice and Fire,0.561,0.711,new-age
Jim Brickman,Home (Deluxe),Country Road,0.386,0.181,new-age
Jim Brickman,Faith (Deluxe Edition),'Tis So Sweet,0.351,0.172,new-age
Jim Brickman,Soothe: Music To Quiet Your Mind & Soothe Your World (Vol. 1),Fly,0.343,0.1,new-age
Michael Hoppé;Martin Tillman;Tim Wheater,Afterglow,The Listening Wind,0.505,0.13,new-age
Michael Hoppé;Martin Tillman;Tim Wheater,Afterglow,The Reckoning,0.186,0.191,new-age
Tim Story,Windham Hill Sampler '96,"Theme From ""In Search Of Angels""",0.263,0.228,new-age
Will Ackerman,Relaxation: A Windham Hill Collection,Big Thing In The Sky,0.2,0.00571,new-age
Ann Sweeten,A Place in the Sun,Shepherd Me,0.318,0.138,new-age
David Carnes,Journey...a Praise Offering,Sacred Head Wounded / Power of the Cross / There Is a Fountain,0.472,0.0441,new-age
Dean Evenson,Healing Waters,Floating to Forever,0.135,0.324,new-age
Brian Crain,Piano and Cello Duet,Song for Sienna,0.216,0.226,new-age
Robert Haig Coxon,Silent Path II... The Healing Heart,Creation,0.189,0.112,new-age
Anne Trenning,The Sunflower Waltz,Where Rivers Run,0.382,0.0865,new-age
Ann Sweeten,Where Butterflies Dance,The Hanging Road,0.268,0.143,new-age
Deuter,Space,Silent Alchemy,0.13,0.031,new-age
Brian Crain,Piano Opus (Bonus Track Version),Flight of the Eagle (Piano and Cello),0.345,0.225,new-age
Karen Marie Garrett,It's About the Rose,It's About the Rose in the Vase on the Table,0.36,0.137,new-age
Robert Haig Coxon,Silent Path II... The Healing Heart,Infinite Expansion,0.0624,0.0823,new-age
Dan Gibson's Solitudes,Dolphin Dreams,Mystic Blue,0.208,0.0923,new-age
Jim Brickman,By Heart,Angel Eyes,0.292,0.256,new-age
David Lanz,Cristofori's Dream,Summer's Child - Remastered,0.584,0.313,new-age
Llewellyn,Reiki,Sacred Symbols (Reprise),0.236,0.296,new-age
Deuter,East of the Full Moon,Vibrant Dusk,0.379,0.0747,new-age
George Winston,Night,Wahine Hololio,0.506,0.00873,new-age
Ann Sweeten,Where Butterflies Dance,Migration,0.281,0.141,new-age
Liquid Mind,Liquid Mind II: Slow World,Blue Seven,0.0576,0.169,new-age
Lori Mechem,Desayuno en calma,Corcovado - Instrumental Version,0.613,0.268,new-age
Liquid Mind,Liquid Mind XI: Deep Sleep,"Deep Sleep, Pt. 1",0.156,0.126,new-age
Gomer Edwin Evans,Traumreise: Wundervolle Wohlfühlmusik,"Seelische Traumreise zum Loslassen und Wohlfühlen, Pt. 2",0.514,0.206,new-age
Andreas Vollenweider;Walter Keiser;Pedro Haldemann;Christoph Stiefel;Matthias Ziegler;Margaretha Zorbala;Mark O'Connor,Dancing with the Lion,Unto the Burning Circle,0.57,0.665,new-age
Tony O'Connor,Kakadu,Gagadju Life Force,0.379,0.105,new-age
Tony O'Connor,Aqua Zone,Ningaloo,0.684,0.306,new-age
Andreas Vollenweider;Walter Keiser;Pedro Haldemann;Matthias Ziegler,Down to the Moon,La lune et l'enfant,0.34,0.235,new-age
Liquid Mind,Relaxing Rain & Ocean Mixes,Journey to Peace - Rain Mix,0.168,0.38,new-age
Clannad,The Best Of Clannad,Caislean Óir - Remastered,0.244,0.166,new-age
Clannad,Legend,Darkmere - Remastered 2003,0.26,0.387,new-age
George Winston,Plains,Ike Ia Ladana - Queen's Jubilee,0.566,0.0279,new-age
Yiruma,Stay in Memory,Stay in Memory,0.589,0.34,new-age
Enigma,"Le Roi Est Mort, Vive Le Roi!",Almost Full Moon,0.398,0.502,new-age
Emile Pandolfi,Once Upon a Romance,Once Upon a Dream,0.293,0.144,new-age
Enigma,A Posteriori,Eppur Si Muove,0.498,0.461,new-age
Ad Dios,Avalon revisited,The Lake,0.503,0.0895,new-age
Enigma,MCMXC a.D.,The Voice & The Snake,0.204,0.236,new-age
ERA,Classics II,Prelude,0.194,0.21,new-age
Enigma,Seven Lives Many Faces,Fata Morgana,0.523,0.375,new-age
Dean Evenson;Dudley Evenson,Om Sound Healing Music: Tibetan & Crystal Bowls with Deep Mantras for Yoga,Root Tones,0.0705,0.0534,new-age
Thad Fiscella,Vast,Ivory Hymn,0.437,0.0556,new-age
Shadowfax,Shadowfax,Wheel of Dreams,0.444,0.208,new-age
Deuter;Annette Cantor,Garden of the Gods,Temple of Silence,0.159,0.2,new-age
Ira Stein,Passion/Romance: Narada Classic Collections,Melusina,0.388,0.201,new-age
Yiruma,Yiruma 2nd Album 'First Love' (The Original & the Very First Recording),Passing By,0.276,0.152,new-age
Dean Evenson,Healing Waters,Waterfalling for You,0.21,0.143,new-age
Will Ackerman,Meditations,On One Knee,0.318,0.053,new-age
Tim Story,The Perfect Flaw,A Broken Alphabet,0.123,0.161,new-age
Shadowfax,Shadowfax,Move the Clouds,0.13,0.0878,new-age
Aeoliah,The Other Side Of The Rainbow,Twin Flames Rising,0.207,0.0597,new-age
Stanton Lanier,Climb to the Sky,Counting the Sand of the Sea,0.341,0.0274,new-age
2002,Believe,Ready to Fly,0.164,0.413,new-age
Michael Dulin,Timeless,Prelude,0.373,0.12,new-age
Jim Brickman,Beautiful World (Deluxe),In The Mountain Air,0.364,0.213,new-age
Yanni,The Very Best Of Yanni,Marching Season,0.485,0.486,new-age
Jim Brickman,Home (Deluxe),A Winter's Night,0.365,0.107,new-age
Mike Oldfield,Tubular Bells III,Man in the Rain,0.573,0.585,new-age
Secret Garden,Songs From A Secret Garden,Serenade To Spring,0.119,0.322,new-age
Deuter,Space,Resonance Blue,0.117,0.039,new-age
Yanni,The Very Best Of Yanni,To The One Who Knows,0.172,0.186,new-age
Aine Minogue,Celtic Meditation Music,Dark Island,0.459,0.0693,new-age
Jim Brickman,Greatest Hits,Rocket to the Moon,0.315,0.275,new-age
Jim Brickman,"Soothe, Vol. 5: Lullaby Dreams - Music for a Peaceful Escape",Rock-A-Bye Baby,0.372,0.0901,new-age
Peter Kater,Elements Series: Etheria,Awakening Stars,0.315,0.113,new-age
George Winston,Night,At Midnight,0.447,0.0116,new-age
Deuter,Space,Warmer Sommerabend,0.203,0.025,new-age
Robert Haig Coxon,Passion… A Prelude To Love,Touching Love,0.0637,0.148,new-age
Paul Cardall,Sleep,Sleep NREM Stage 2,0.113,0.0649,new-age
Aine Minogue,Celtic Meditation Music,Gentle Maiden,0.197,0.0486,new-age
Oliver Shanti & Friends,Best Of Oliver Shanti & Friends: Circles Of Life,My Galician Fantasies,0.421,0.184,new-age
Paul Cardall,Peaceful Piano,A New Beginning,0.457,0.00186,new-age
Dan Gibson's Solitudes,Natural Stress Relief,Sienna Sky,0.319,0.146,new-age
Dan Gibson's Solitudes,Sweet Dreams,"Twinkle, Twinkle, Little Star",0.222,0.176,new-age
Andreas Vollenweider;Walter Keiser;Pedro Haldemann,White Winds (Seeker's Journey),Brothership,0.652,0.482,new-age
Dan Gibson's Solitudes,Dolphin Dreams,In Their Gentle Presence,0.323,0.143,new-age
Tony O'Connor,Kakadu,Floodplain,0.419,0.143,new-age
Dan Gibson's Solitudes,Dolphin Dreams,By the Grace of the Sea,0.124,0.126,new-age
David Arkenstone;Tena Hess;Nancy Rumbel;Kostia;Deborah Hanks;Jerome Franke;Eric Segnitz;Tim Klabunde;Mike Giacobassi;Robert Hanford;Helen Reich;Paul Gmeinder;Gloria Hays;The Milwaukee Jewish Day School Choir,Narada Decade (The Anniversary Collection),Papillon (On The Wings Of The Butterfly),0.355,0.281,new-age
Tony O'Connor,Kakadu,Shapes of Mystery,0.392,0.601,new-age
Tony O'Connor,Uluru,Deserk Oak,0.395,0.128,new-age
Clannad,Legend,Battles - Remastered 2003,0.574,0.225,new-age
Jim Brickman;Martina McBride,The Essential Martina McBride,Valentine,0.305,0.314,new-age
Yanni,If I Could Tell You,November Sky,0.568,0.541,new-age
Deep Forest,Eponymous (Version 2021),Sweet Lullaby - Version 2021,0.571,0.504,new-age
Stanton Lanier,Open Spaces,Sacred Mountain,0.3,0.0964,new-age
Ira Stein,Carousel,Briarcombe,0.412,0.153,new-age
Stive Morgan;Moon Haunter;Azat Gimadeev,Flight in Dream,Time of Love,0.391,0.481,new-age
Jon Schmidt,To the Summit,To the Summit,0.451,0.427,new-age
Will Ackerman;Charlie Bisharat;Noah Wilding,Positano Songs,The End of the Day,0.24,0.126,new-age
Denise Young,Something You Dream Of... NOMINATED FOR BEST INSTRUMENTAL ALBUM - PIANO FOR 2007!,Autumn Colors,0.244,0.0156,new-age
Jim Brickman,By Heart,Looking Back,0.392,0.087,new-age
Yiruma;Ruvin,Yiruma Official Album 'The Very Best of Yiruma: Greatest Hits' (The Original & the Very First Recording),River Flows In You 너의 마음속엔 강이 흐른다 (feat. Ruvin),0.5,0.19,new-age
Yiruma,Yiruma 2nd Album 'First Love' (The Original & the Very First Recording),It's Your Day,0.332,0.203,new-age
Gary Stadler;Stephannie,Fairy Heartmagic,Mystery,0.307,0.146,new-age
Gary Stadler,Fairy Lullabies,Fly Away Lullaby,0.161,0.11,new-age
Spencer Brewer,Piano Solos,Where We Used To Play,0.334,0.0494,new-age
Jim Brickman,Faith (Deluxe Edition),Morning Has Broken,0.341,0.091,new-age
Yanni,The Very Best Of Yanni,The Mermaid,0.535,0.256,new-age
Ann Sweeten,A Place in the Sun,The Last Day of April,0.308,0.156,new-age
Jim Brickman,By Heart,In A Lover's Eyes,0.448,0.093,new-age
Karen Marie Garrett,Allure of Sanctuary,Simple Things,0.415,0.0705,new-age
Sean Harkness,Aloft,Green Mountain Trail,0.677,0.283,new-age
Brian Crain,Life Is...,The Edge of a Petal,0.239,0.059,new-age
Dean Evenson,Healing Waters,Spirit of Water,0.157,0.211,new-age
Brian Crain,Piano and Cello Duet,Butterfly Waltz,0.361,0.185,new-age
George Winston,Night,Dawn,0.41,0.00219,new-age
Michael Allen Harrison,Composer/Pianist,Awakening,0.242,0.00848,new-age
Brian Crain,A Light in the Trees,Tenderness,0.273,0.258,new-age
Peter Kater,Elements Series: Etheria,Violet Waves,0.47,0.352,new-age
Dan Gibson's Solitudes,Zen Escape,Reunion of Joy,0.271,0.544,new-age
Terry Oldfield,Spirit of the World,The Africans,0.414,0.325,new-age
Jim Brickman,By Heart,If You Believe,0.357,0.273,new-age
Bernward Koch,Day of Life,On Gentle Waves,0.304,0.127,new-age
Michael Maxwell,Pachelbel: Forever by the Sea,Timeless and Free,0.175,0.306,new-age
Deuter,Bamboo Forest,Hollow Bamboo 2,0.0966,0.00789,new-age
David Lanz,Cristofori's Dream,Free Fall - Remastered,0.721,0.363,new-age
Helen Jane Long,Intervention,If I Could,0.254,0.122,new-age
Dan Gibson's Solitudes,Angels of the Sea,Angels of the Sea,0.185,0.353,new-age
Brian Crain,Solo Piano Lullabies,Yellow Submarine,0.432,0.0566,new-age
Phil Coulter,Sea Of Tranquility,The Green Glens Of Antrim,0.375,0.114,new-age
Robert Haig Coxon,The Infinite... Essence of Life,Divine Secrets,0.0718,0.019,new-age
Michael Maxwell,Pachelbel: Forever by the Sea,The Beckoning Sea,0.167,0.406,new-age
Dan Gibson's Solitudes,Island Spa,Sunrise on the Sea,0.329,0.0742,new-age
Dan Gibson's Solitudes,Songbirds at Sunrise,Dawn in the Valley,0.302,0.102,new-age
George Winston,Plains,Angel,0.534,0.0106,new-age
Kevin Kern,Beyond the Sundial,A Distant Shade of Green,0.43,0.242,new-age
George Winston,Night,Pua Sadinia (Not To Be Forgotten),0.526,0.0142,new-age
George Winston,Linus & Lucy - The Music of Vince Guaraldi,Monterey,0.443,0.185,new-age
Liquid Mind,Liquid Mind X: Meditation,The Joy of Quiet,0.0615,0.156,new-age
Tony O'Connor,Wilderness,Reflections,0.185,0.111,new-age
Tony O'Connor,Aqua Zone,Ocean Moods,0.255,0.172,new-age
Yiruma,Piano,Embrace of Silence,0.425,0.0156,new-age
Fiona Joy Hawkins,Blue Dream (Softly),Blue Dream (Softly),0.367,0.0264,new-age
Yiruma,f r a m e,f r a m e d - Piano Version,0.493,0.264,new-age
Govi,Mosaico,Bumblebeat,0.7,0.684,new-age
Chad Lawson;Royal Philharmonic Orchestra;James Southall,irreplaceable,irreplaceable,0.238,0.0747,new-age
Yanni,Ethnicity,Never Too Late,0.54,0.777,new-age
Ira Stein,Carousel,A Place Without Words,0.331,0.145,new-age
Yiruma,The Best - Reminiscent 10th Anniversary,Fotografia,0.213,0.271,new-age
Laura Sullivan,Calm Within: Music for Relaxation of Body and Mind,Cloud Forest,0.189,0.152,new-age
Peter Kater,AMBROSIA,Reconciliation,0.149,0.0952,new-age
Parijat,Journey Home,Now We Are,0.73,0.218,new-age
Will Ackerman;Eugene Friesen;Tom Eaton,Positano Songs,For Carmine,0.286,0.231,new-age
Michael Gettel,Skywatching,Prelude: Stillness,0.441,0.00298,new-age
David Lanz,Return To The Heart,Return To The Heart,0.467,0.09,new-age
Aeoliah,The Best of Aeoliah,Hearts of Fire,0.115,0.0697,new-age
Enigma,The Cross Of Changes,Out From The Deep,0.401,0.596,new-age
Gary Stadler;Stephannie,Fairy Heartmagic,Heartmagic,0.339,0.038,new-age
Danny Wright,Dream A Little Dream: Classic Piano Lullabies,"Feather Theme (From ""Forrest Gump"")",0.395,0.0545,new-age
Will Ackerman,Was It This Lifetime: Pieces for Guitar (1991-2011),The Wheel,0.182,0.418,new-age
Paul Cardall,Sleep,Sleep NREM Stage 3,0.0652,0.134,new-age
Brian Crain,A Light in the Trees,Tenderness,0.273,0.258,new-age
David Lanz,Return To The Heart,Improvisation: Friedensengel (Angel Of Peace),0.574,0.00638,new-age
Jennifer Thomas,"The Lullaby Album , Vol. 1 Piano with Orchestra",Dancing on the Clouds (instrumental),0.366,0.191,new-age
Robert Haig Coxon,Goddess ... The Power of Woman,Romance,0.207,0.0755,new-age
Deuter,Spiritual Healing,Village Moon,0.12,0.0167,new-age
Dan Gibson's Solitudes,Dolphin Dreams,Dolphin Dreams,0.254,0.0695,new-age
Mike Rowland,The Fairy Ring (Remastered),"The Fairy Ring, Part 1 - Remastered",0.0852,0.258,new-age
Jim Brickman;Michael W. Smith,Destiny,Love of My Life (feat. Michael W. Smith),0.443,0.28,new-age
Dan Gibson's Solitudes,Stream of Dreams,Pool of Mirrors,0.311,0.0948,new-age
Brian Crain,Solo Piano Lullabies,Rock-a-Bye Baby,0.517,0.0322,new-age
Dan Gibson's Solitudes,Dolphin Dreams,Swept Away in Wonder,0.143,0.219,new-age
Al Hirt,Music To Watch Girls By,Más Que Nada,0.437,0.425,new-age
Dan Gibson's Solitudes,Asian Spa,Watery Illumination,0.328,0.0863,new-age
Nightnoise,Something Of Time,Perchance To Dream,0.24,0.138,new-age
Jon Schmidt,Bonus Tracks,Jessica's Theme (from The Man from Snowy River),0.454,0.0368,new-age
Dan Gibson's Solitudes,Stream of Dreams,Morning Light,0.216,0.144,new-age
Liquid Mind,Liquid Mind III: Balance,Balance,0.169,0.238,new-age
Will Ackerman,Imaginary Roads,The Moment In Which You Must Finally Let Go Of The Tether Which Has Held Your Hope Airborne,0.442,0.0785,new-age
Paul Cardall,Hymns,He Is Risen,0.428,0.202,new-age
Dan Gibson's Solitudes,Angels of the Sea,Florida Dream,0.412,0.187,new-age
Dan Gibson's Solitudes,Dolphin Dreams,Angels of the Reef,0.117,0.11,new-age
Andreas Vollenweider;Walter Keiser;Pedro Haldemann;Corin Curschellas,White Winds (Seeker's Journey),The Stone (Close Up),0.171,0.307,new-age
Dan Gibson's Solitudes,Frog Song,"Pacific Treefrog, Winter Wren, Varied Trush, Fox Sparrow, Robin",0.449,0.00919,new-age
Gomer Edwin Evans,Traumreise: Wundervolle Wohlfühlmusik,"Seelische Traumreise zum Loslassen und Wohlfühlen, Pt. 10",0.506,0.209,new-age
Tony O'Connor,Aqua Zone,Rendezvous,0.533,0.178,new-age
George Winston,Linus & Lucy - The Music of Vince Guaraldi,Bon Voyage,0.319,0.102,new-age
Ernesto Cortazar;Manuel Esperón;Plácido Domingo;Bebu Silvetti;Miami Symphonic Strings,Plácido Domingo - The Latin Album Collection,Cocula,0.526,0.621,new-age
George Winston,Plains,Plains - Eastern Montana Blues,0.456,0.00179,new-age
Clannad,Legend,Scarlet Inside - (Remastered 2003) [Live],0.563,0.398,new-age
Hayley Westenra,Pure (Includes Bonus Tracks and Exclusive Track),"River Of Dreams (adapted from ""The Four Seasons: Winter, RV 297"")",0.233,0.177,new-age
Enigma,The Fall Of A Rebel Angel,Lost In Nothingness,0.161,0.132,new-age
Yiruma,f r a m e,Walking In The Forest,0.401,0.128,new-age
Yiruma,Blind Film,Waltz in E Minor (For Cello),0.156,0.11,new-age
Gandalf,Sanctuary,Alhambra (Prelude),0.186,0.249,new-age
Jacob's Piano,Ballade Pour Adeline,Ballade Pour Adeline,0.322,0.203,new-age
Robin Spielberg,Walk With Me (Piano / Cello Version),Walk With Me (Piano / Cello Version),0.388,0.15,new-age
Karunesh,Global Spirit,Solitude,0.616,0.63,new-age
Enigma,"Le Roi Est Mort, Vive Le Roi!",T.N.T. For The Brain,0.581,0.713,new-age
Karunesh,Nirvana Cafe,Keeper of Mystery,0.567,0.666,new-age
Achillea,The Nine Worlds,Land of the Elves,0.427,0.108,new-age
Yiruma,The Best - Reminiscent 10th Anniversary,Wait There,0.49,0.15,new-age
Yanni;Miklos Malik,Truth of Touch,Voyage,0.645,0.494,new-age
Yanni,The Dream Concert: Live from the Great Pyramids of Egypt,Acroyali (Live),0.261,0.244,new-age
Aeoliah,The Other Side Of The Rainbow,Windsong,0.154,0.176,new-age
Dean Evenson;Dudley Evenson,Dream Space,Calm Center,0.06,0.081,new-age
Dean Evenson;Scott Huckabay,Harmonic Way,Blessed Path,0.144,0.136,new-age
Catherine Marie Charlton,River Dawn: Piano Meditations,"River Dawn, Part 7",0.324,0.0237,new-age
Stanton Lanier,Unveiled,Wildflowers,0.311,0.15,new-age
Michael Hoppé,Solace for You,Romance for Violin and Orchester,0.148,0.235,new-age
Catherine Marie Charlton,River Dawn: Piano Meditations,"River Dawn, Part 8",0.321,0.03,new-age
Aine Minogue,Celtic Meditation Music,Far Beyond Yon Mountain,0.283,0.0271,new-age
Ad Dios,Echoes in Stone,Ascending,0.302,0.229,new-age
Jim Brickman,"Soothe, Vol. 5: Lullaby Dreams - Music for a Peaceful Escape",Silent Night,0.38,0.0747,new-age
2002,Land of Forever,Realms of Splendor,0.193,0.094,new-age
Llewellyn,Journey to the Temple,Spleen Chakra,0.194,0.0751,new-age
Phil Coulter,The Songs I Love So Well,The Old Man,0.388,0.177,new-age
George Skaroulis,Passions,Don't Forget Me,0.353,0.0923,new-age
Mike Oldfield,QE2,Molly,0.387,0.0243,new-age
Catherine Marie Charlton,River Dawn: Piano Meditations,"River Dawn, Part 4",0.301,0.0302,new-age
George Skaroulis,Reunion,Tree Of Life,0.228,0.0766,new-age
Paul Cardall,Faithful,Embraced,0.231,0.0378,new-age
Oliver Shanti & Friends,Tai Chi,An Ti Dog MA Ti Sm,0.101,0.266,new-age
Dan Gibson's Solitudes,Asian Spa,The Essence of Being,0.412,0.224,new-age
Dan Gibson's Solitudes,Stream of Dreams,Pool of Mirrors,0.311,0.0948,new-age
Nightnoise,Pure Nightnoise,Toys Not Ties,0.26,0.126,new-age
Brad Jacobsen,Pastorale: Solo Piano Hymns,Sweet Hour of Prayer / Did You Think to Pray?,0.34,0.086,new-age
Dan Gibson's Solitudes,Pachelbel in the Garden,Serenity,0.303,0.164,new-age
Brian Crain,Solo Piano Lullabies,If I Fell (In Love with You),0.491,0.0349,new-age
Dan Gibson's Solitudes,Desert Retreat,Whispering Sands,0.188,0.0884,new-age
Liquid Mind,Liquid Mind XI: Deep Sleep,"Compassion, Pt. 2",0.0815,0.14,new-age
Paul Cardall,Hymns Vol. 2,"In Humility, Our Savior",0.279,0.13,new-age
Dan Gibson's Solitudes,Asian Spa,Euphoric Balance,0.46,0.113,new-age
Brian Crain,Solo Piano Lullabies,Frere Jacques - Are You Sleeping,0.347,0.101,new-age
Paul Cardall;Nathan Pacheco,A New Creation,Gethsemane,0.134,0.303,new-age
Dan Gibson's Solitudes,Dolphin Dreams,Angels of the Reef,0.117,0.11,new-age
